Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
718,34.0,112.0,1.0,18.02,6.17,22.44,-4.42,158.66,210.5,0.853,29.61,0.571,z_15
722,27.0,251.0,0.0,20.24,4.87,25.69,-5.45,160.19,273.44,0.871,28.38,0.382,z_15
725,70.0,174.0,1.0,20.84,5.69,26.1,-5.26,166.95,271.27,0.879,31.29,0.43,z_15
726,137.0,204.0,1.0,21.04,5.78,27.13,-6.09,164.79,286.46,0.803,31.32,0.628,z_15
731,146.0,161.0,1.0,20.94,5.72,27.18,-6.24,174.53,286.46,0.865,31.8,0.562,z_15
733,144.0,359.0,0.0,13.6,6.49,13.6,0.0,122.29,93.32,0.812,25.13,0.478,z_0
735,336.0,253.0,1.41,22.98,5.74,29.13,-6.15,179.0,353.73,0.91,34.46,0.551,z_15
736,324.0,281.0,1.0,22.95,5.77,28.94,-5.99,179.21,347.22,0.862,34.35,0.575,z_15
739,154.0,371.0,7.07,15.02,5.98,16.27,-1.25,125.28,125.87,0.868,25.13,0.4,z_11
740,197.0,380.0,0.0,19.76,6.61,19.76,0.0,99.5,208.33,0.829,30.09,0.686,z_0
743,14.0,452.0,9.06,15.49,4.8,18.04,-2.55,121.28,141.06,0.852,24.33,0.298,z_12
744,346.0,131.0,1.0,22.15,4.96,28.17,-6.02,170.45,305.99,0.871,30.97,0.394,z_15
747,201.0,503.0,1.41,16.27,5.07,18.87,-2.6,152.38,145.4,0.791,25.17,0.566,z_9
750,153.0,498.0,0.0,15.38,5.05,15.38,0.0,128.35,130.21,0.83,25.13,0.217,z_0
753,458.0,178.0,3.0,19.46,5.78,23.75,-4.29,169.4,245.23,0.86,30.26,0.655,z_15
760,384.0,174.0,10.0,17.07,3.27,39.14,-22.07,154.13,186.63,0.901,23.29,0.133,z_13
764,422.0,18.0,5.39,16.03,5.75,49.81,-33.78,167.09,151.91,0.87,27.28,0.619,z_13
765,381.0,300.0,0.0,19.98,5.78,26.66,-6.68,176.66,269.1,0.907,31.48,0.55,z_15
769,173.0,393.0,1.0,20.1,4.87,24.33,-4.23,155.07,262.59,0.87,28.37,0.444,z_15
770,378.0,271.0,3.16,18.02,6.41,24.3,-6.28,165.17,197.48,0.852,29.61,0.654,z_15
772,331.0,295.0,1.0,19.65,6.49,24.0,-4.35,167.97,247.4,0.883,31.25,0.624,z_15
774,407.0,303.0,0.0,18.5,5.58,23.94,-5.44,177.52,217.01,0.842,29.61,0.59,z_15
778,490.0,314.0,2.24,19.59,6.27,24.78,-5.19,174.13,240.89,0.896,31.17,0.618,z_14
779,430.0,264.0,1.0,15.87,5.65,21.96,-6.09,178.29,177.95,0.948,27.16,0.591,z_15
780,439.0,236.0,0.0,21.58,5.86,29.08,-7.5,176.85,312.5,0.876,33.04,0.564,z_15
781,464.0,277.0,1.41,20.9,6.56,27.26,-6.36,173.26,284.29,0.872,32.56,0.631,z_15
789,213.0,335.0,1.41,19.26,6.36,22.93,-3.67,164.8,240.89,0.896,31.01,0.643,z_15
790,137.0,431.0,1.0,18.96,6.0,25.49,-6.53,162.91,230.03,0.893,30.05,0.612,z_15
791,265.0,485.0,1.0,19.71,5.19,27.52,-7.81,180.99,245.23,0.912,30.05,0.57,z_15
792,14.0,472.0,0.0,21.12,6.53,27.21,-6.09,155.6,299.48,0.884,32.71,0.594,z_15
794,153.0,403.0,1.0,20.24,5.9,25.17,-4.93,167.84,273.44,0.871,31.45,0.586,z_14
795,224.0,327.0,2.24,22.45,6.31,27.28,-4.83,165.59,323.35,0.831,34.03,0.6,z_15
796,314.0,335.0,0.0,21.24,5.73,28.05,-6.81,179.91,295.14,0.891,32.1,0.549,z_15
797,75.0,394.0,0.0,22.72,6.19,27.8,-5.08,162.03,349.39,0.898,33.65,0.586,z_14
800,208.0,406.0,0.0,20.93,5.29,27.8,-6.87,178.9,279.95,0.858,31.48,0.574,z_14
801,295.0,319.0,0.0,22.81,5.52,31.9,-9.09,180.08,351.56,0.873,33.66,0.497,z_15
802,292.0,481.0,1.41,22.95,4.67,29.52,-6.57,171.22,338.54,0.841,30.79,0.456,z_14
803,110.0,353.0,1.0,19.93,5.65,27.95,-8.02,176.23,264.76,0.892,31.02,0.536,z_15
804,161.0,426.0,0.0,22.59,6.38,29.18,-6.59,174.36,323.35,0.92,34.2,0.612,z_14
805,186.0,326.0,3.16,22.63,5.99,30.11,-7.48,179.73,345.05,0.887,34.17,0.584,z_15
806,109.0,387.0,1.0,23.43,5.62,31.87,-8.44,179.49,362.41,0.887,33.83,0.58,z_14
807,98.0,367.0,1.0,14.88,5.17,19.5,-4.62,156.45,138.89,0.885,24.7,0.536,z_15
810,80.0,434.0,0.0,13.6,4.52,13.6,0.0,113.97,108.51,0.813,22.37,0.361,z_0
814,120.0,460.0,0.0,14.73,6.59,14.73,0.0,130.05,112.85,0.753,26.52,0.269,z_0
815,142.0,298.0,0.0,25.47,6.77,25.47,0.0,101.38,353.73,0.795,35.91,0.634,z_0
816,77.0,421.0,0.0,14.17,3.53,17.53,-3.36,166.67,125.87,0.868,21.06,0.183,z_15
818,142.0,496.0,1.0,20.52,6.02,24.49,-3.97,162.01,273.44,0.871,31.8,0.418,z_15
819,93.0,422.0,1.0,13.99,1.41,16.34,-2.35,157.03,121.53,0.838,16.8,0.202,z_15
821,272.0,323.0,0.0,13.98,6.07,15.49,-1.51,159.64,115.02,0.916,25.43,0.62,z_8
822,93.0,324.0,0.0,13.51,5.22,15.23,-1.72,150.51,110.68,0.881,23.8,0.649,z_15
