Center_X_px,Center_Y_px,Diameter_μm,slide
164.0,377.0,37.09,z_14
287.0,347.0,37.04,z_14
99.0,313.0,37.04,z_13
28.0,467.0,37.04,z_15
379.0,315.0,36.97,z_13
175.0,495.0,36.92,z_14
379.0,356.0,36.92,z_13
381.0,201.0,36.87,z_13
423.0,444.0,36.77,z_11
12.0,107.0,36.71,z_15
269.0,341.0,36.7,z_13
96.0,173.0,36.67,z_15
461.0,461.0,36.61,z_14
267.0,471.0,36.57,z_13
448.0,482.0,36.38,z_10
353.0,501.0,36.07,z_14
311.0,316.0,36.02,z_13
320.0,30.0,36.0,z_13
257.0,261.0,35.96,z_14
171.0,270.0,35.95,z_14
437.0,161.0,35.94,z_15
499.0,453.0,35.93,z_15
331.0,153.0,35.92,z_15
184.0,357.0,35.84,z_12
463.0,444.0,35.84,z_13
306.0,222.0,35.84,z_13
394.0,307.0,35.84,z_14
393.0,189.0,35.84,z_15
429.0,408.0,35.8,z_15
356.0,10.0,35.75,z_0
221.0,412.0,35.75,z_14
136.0,462.0,35.71,z_14
390.0,273.0,35.68,z_14
110.0,41.0,35.53,z_14
444.0,176.0,35.51,z_15
130.0,299.0,35.5,z_15
379.0,227.0,35.49,z_15
345.0,320.0,35.43,z_14
41.0,64.0,35.42,z_13
283.0,329.0,35.41,z_11
464.0,369.0,35.1,z_15
66.0,462.0,35.05,z_14
33.0,80.0,35.0,z_14
96.0,91.0,34.99,z_15
202.0,457.0,34.93,z_13
15.0,261.0,34.92,z_15
114.0,495.0,34.92,z_13
58.0,475.0,34.92,z_12
367.0,441.0,34.79,z_14
171.0,437.0,34.76,z_14
28.0,136.0,34.73,z_15
165.0,410.0,34.73,z_15
212.0,471.0,34.72,z_15
462.0,298.0,34.67,z_13
227.0,397.0,34.63,z_13
11.0,382.0,34.49,z_15
202.0,297.0,34.36,z_15
438.0,492.0,34.17,z_5
293.0,233.0,33.98,z_15
106.0,480.0,33.98,z_10
454.0,230.0,33.97,z_15
326.0,307.0,33.95,z_14
438.0,438.0,33.95,z_15
349.0,169.0,33.92,z_15
150.0,389.0,33.92,z_14
339.0,284.0,33.83,z_14
350.0,270.0,33.74,z_14
49.0,430.0,33.73,z_15
91.0,33.0,33.7,z_14
369.0,494.0,33.59,z_15
365.0,268.0,33.59,z_15
99.0,501.0,33.59,z_10
488.0,204.0,33.45,z_13
188.0,374.0,33.4,z_14
243.0,456.0,33.4,z_15
154.0,280.0,33.39,z_14
73.0,11.0,33.34,z_15
375.0,478.0,33.28,z_15
103.0,418.0,33.26,z_14
86.0,59.0,33.26,z_14
193.0,407.0,33.19,z_14
98.0,216.0,33.14,z_14
60.0,22.0,33.11,z_15
225.0,208.0,33.07,z_14
39.0,48.0,32.98,z_15
202.0,368.0,32.94,z_14
198.0,330.0,32.94,z_13
453.0,382.0,32.94,z_14
234.0,382.0,32.94,z_14
57.0,225.0,32.94,z_15
333.0,268.0,32.94,z_14
336.0,464.0,32.84,z_14
453.0,285.0,32.8,z_14
91.0,335.0,32.78,z_14
139.0,286.0,32.65,z_13
187.0,340.0,32.65,z_15
468.0,328.0,32.63,z_13
385.0,488.0,32.61,z_5
197.0,314.0,32.54,z_14
89.0,475.0,32.4,z_15
222.0,281.0,32.34,z_14
58.0,92.0,32.27,z_15
453.0,496.0,32.21,z_15
392.0,289.0,32.09,z_15
459.0,147.0,32.01,z_14
343.0,143.0,31.99,z_15
23.0,93.0,31.9,z_14
295.0,319.0,31.9,z_15
416.0,464.0,31.89,z_14
110.0,387.0,31.87,z_14
501.0,321.0,31.84,z_13
117.0,201.0,31.81,z_15
83.0,81.0,31.8,z_14
443.0,126.0,31.8,z_14
75.0,490.0,31.73,z_5
467.0,165.0,31.73,z_15
129.0,488.0,31.67,z_15
451.0,270.0,31.62,z_13
313.0,208.0,31.58,z_14
491.0,476.0,31.53,z_15
354.0,343.0,31.47,z_13
299.0,154.0,31.36,z_15
340.0,381.0,31.35,z_14
162.0,75.0,31.32,z_13
161.0,486.0,31.32,z_15
486.0,437.0,31.32,z_14
96.0,48.0,31.25,z_15
481.0,269.0,31.13,z_13
153.0,301.0,31.13,z_15
289.0,383.0,31.12,z_15
343.0,186.0,31.11,z_14
462.0,313.0,31.09,z_14
495.0,488.0,31.07,z_5
196.0,472.0,31.05,z_15
352.0,411.0,31.03,z_14
341.0,335.0,30.9,z_13
208.0,213.0,30.85,z_15
60.0,241.0,30.83,z_15
404.0,278.0,30.7,z_14
384.0,160.0,30.68,z_15
211.0,286.0,30.61,z_11
486.0,383.0,30.61,z_14
300.0,108.0,30.61,z_14
453.0,163.0,30.52,z_15
10.0,275.0,30.33,z_14
178.0,403.0,30.33,z_15
112.0,175.0,30.26,z_15
185.0,323.0,30.11,z_15
311.0,458.0,30.05,z_14
330.0,206.0,30.04,z_15
332.0,450.0,29.79,z_15
293.0,480.0,29.52,z_14
8.0,129.0,29.27,z_15
54.0,55.0,29.26,z_15
161.0,426.0,29.18,z_14
13.0,246.0,29.16,z_15
337.0,252.0,29.13,z_15
439.0,236.0,29.08,z_15
399.0,376.0,29.07,z_14
433.0,339.0,29.03,z_14
324.0,280.0,28.94,z_15
272.0,75.0,28.94,z_14
110.0,224.0,28.94,z_15
459.0,429.0,28.86,z_15
269.0,251.0,28.62,z_15
210.0,322.0,28.39,z_15
346.0,485.0,28.34,z_14
98.0,231.0,28.25,z_15
339.0,497.0,28.21,z_14
236.0,230.0,28.21,z_14
346.0,130.0,28.17,z_15
75.0,68.0,28.09,z_14
314.0,335.0,28.05,z_15
110.0,352.0,27.95,z_15
496.0,409.0,27.95,z_15
71.0,254.0,27.92,z_15
332.0,485.0,27.81,z_15
208.0,406.0,27.8,z_14
75.0,394.0,27.8,z_14
29.0,278.0,27.52,z_15
264.0,485.0,27.52,z_15
18.0,79.0,27.5,z_15
290.0,283.0,27.42,z_15
355.0,331.0,27.41,z_15
431.0,321.0,27.33,z_15
63.0,288.0,27.33,z_14
222.0,326.0,27.28,z_15
465.0,276.0,27.26,z_15
161.0,291.0,27.23,z_15
14.0,472.0,27.21,z_15
146.0,160.0,27.18,z_15
