x,y,diameter,occupancy
403.0,52.0,26.52,0
408.0,221.0,28.92,0
336.0,10.0,23.65,0
370.0,234.0,24.3,0
258.0,268.0,56.67,0
379.0,28.0,24.27,0
486.0,138.0,35.49,0
331.0,200.0,25.13,0
436.0,244.0,24.39,0
414.0,59.0,40.02,0
474.0,44.0,23.75,0
497.0,125.0,26.46,0
334.0,134.0,24.55,0
449.0,199.0,32.68,0
463.0,111.0,31.29,0
317.0,194.0,30.33,0
481.0,125.0,36.44,0
319.0,214.0,36.02,0
324.0,59.0,25.21,0
447.0,228.0,25.09,0
457.0,242.0,25.17,0
389.0,275.0,25.21,0
431.0,229.0,26.72,0
345.0,122.0,27.95,0
485.0,74.0,29.87,0
485.0,208.0,26.28,0
473.0,309.0,26.75,0
475.0,222.0,24.59,0
423.0,216.0,24.66,0
388.0,57.0,25.54,0
362.0,164.0,42.49,0
451.0,99.0,39.34,0
473.0,183.0,45.81,0
358.0,55.0,48.23,0
341.0,152.0,46.26,0
391.0,145.0,36.55,0
375.0,96.0,42.78,0
417.0,76.0,46.9,0
325.0,89.0,49.54,0
381.0,122.0,48.9,0
425.0,122.0,40.85,0
498.0,144.0,40.46,0
468.0,262.0,46.47,0
387.0,298.0,43.97,0
428.0,99.0,37.96,0
336.0,449.0,38.25,0
456.0,318.0,38.55,0
322.0,343.0,53.17,0
309.0,457.0,26.24,0
418.0,232.0,45.93,0
433.0,260.0,43.5,0
466.0,281.0,45.07,0
419.0,43.0,34.8,0
182.0,350.0,23.81,0
475.0,92.0,34.01,0
429.0,25.0,32.61,0
352.0,176.0,41.23,0
339.0,69.0,32.65,0
415.0,302.0,37.34,0
356.0,81.0,36.92,0
400.0,239.0,34.7,0
382.0,252.0,41.71,0
457.0,144.0,31.53,0
395.0,37.0,30.85,0
398.0,205.0,36.75,0
326.0,119.0,31.98,0
440.0,78.0,32.54,0
460.0,298.0,31.67,0
478.0,289.0,37.81,0
377.0,72.0,38.05,0
423.0,273.0,39.14,0
362.0,290.0,42.18,0
332.0,233.0,45.3,0
449.0,27.0,35.53,0
420.0,197.0,42.32,0
476.0,156.0,45.92,0
394.0,84.0,33.73,0
188.0,163.0,54.3,0
416.0,159.0,33.66,0
383.0,221.0,39.59,0
499.0,86.0,31.92,0
499.0,219.0,35.84,0
419.0,249.0,35.49,0
320.0,42.0,33.85,0
7.0,16.0,26.13,0
120.0,13.0,31.26,0
290.0,99.0,26.68,0
80.0,138.0,29.55,0
85.0,203.0,33.6,0
271.0,280.0,31.83,0
107.0,43.0,27.2,0
13.0,240.0,33.1,0
24.0,10.0,29.83,0
152.0,229.0,30.64,0
295.0,127.0,30.62,0
248.0,274.0,30.6,0
105.0,231.0,31.57,0
35.0,26.0,28.07,0
288.0,186.0,28.69,0
158.0,283.0,29.25,0
255.0,112.0,26.52,0
44.0,9.0,25.6,0
39.0,286.0,52.43,0
131.0,165.0,29.26,0
262.0,25.0,27.11,0
58.0,61.0,27.95,0
28.0,150.0,31.75,0
158.0,264.0,34.7,0
30.0,252.0,35.65,0
71.0,36.0,29.61,0
271.0,261.0,31.02,0
180.0,279.0,32.28,0
236.0,206.0,83.23,0
48.0,131.0,31.2,0
39.0,43.0,29.56,0
84.0,24.0,28.56,0
218.0,271.0,32.94,0
206.0,100.0,30.77,0
63.0,122.0,26.72,0
149.0,150.0,29.74,0
271.0,182.0,32.15,0
81.0,90.0,24.84,0
31.0,132.0,25.77,0
147.0,47.0,27.11,0
250.0,127.0,23.4,0
214.0,293.0,35.64,0
144.0,244.0,23.75,0
315.0,271.0,28.09,0
188.0,185.0,23.29,0
209.0,122.0,27.23,0
303.0,87.0,26.96,0
311.0,151.0,23.95,0
26.0,224.0,25.77,0
154.0,129.0,25.43,0
315.0,288.0,27.3,0
119.0,220.0,26.88,0
162.0,300.0,32.03,0
199.0,202.0,24.49,0
90.0,121.0,27.23,0
36.0,73.0,23.65,0
42.0,59.0,24.76,0
275.0,62.0,25.6,0
63.0,203.0,27.5,0
31.0,187.0,26.72,0
105.0,7.0,25.08,0
256.0,290.0,27.41,0
138.0,114.0,26.68,0
205.0,185.0,28.12,0
135.0,201.0,29.45,0
151.0,183.0,29.08,0
117.0,179.0,25.89,0
249.0,35.0,26.55,0
118.0,152.0,28.14,0
16.0,266.0,28.34,0
27.0,56.0,25.17,0
