Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
333,87.0,142.0,0.0,41.36,1.43,42.64,-1.28,119.93,1000.43,0.782,44.22,0.474,z15
334,139.0,189.0,1.0,50.96,1.6,54.92,-3.96,113.91,1720.92,0.753,53.01,0.52,z14
335,188.0,22.0,0.0,39.21,1.57,40.49,-1.28,121.05,1035.16,0.809,41.9,0.461,z13
336,106.0,93.0,1.0,38.75,1.58,40.8,-2.05,119.11,1019.97,0.859,41.48,0.556,z15
337,138.0,168.0,0.0,36.38,1.84,38.06,-1.68,123.46,902.78,0.944,39.14,0.576,z15
338,14.0,230.0,0.0,44.73,1.76,46.63,-1.9,112.1,1401.91,0.901,46.94,0.667,z15
339,177.0,232.0,1.41,35.67,1.72,39.06,-3.39,124.32,850.69,0.918,38.37,0.531,z15
340,22.0,146.0,0.0,49.83,1.81,49.83,0.0,109.87,1675.35,0.86,51.25,0.667,z12
341,307.0,193.0,0.0,28.56,1.47,31.01,-2.45,129.61,553.39,0.892,31.29,0.593,z15
342,71.0,156.0,0.0,36.67,1.68,38.77,-2.1,122.56,852.86,0.872,39.31,0.455,z15
343,26.0,247.0,0.0,38.58,1.89,41.03,-2.45,115.52,1048.18,0.901,41.33,0.736,z15
344,291.0,28.0,1.0,30.33,1.46,32.13,-1.8,128.81,629.34,0.869,32.94,0.552,z15
345,295.0,239.0,0.0,25.51,1.73,27.46,-1.95,133.13,429.69,0.91,28.05,0.562,z15
347,189.0,216.0,0.0,45.3,2.31,45.77,-0.47,115.52,1421.44,0.898,47.63,0.726,z12
348,33.0,60.0,0.0,27.56,1.51,29.83,-2.27,127.24,518.66,0.921,30.13,0.615,z15
349,307.0,138.0,0.0,29.38,1.55,32.69,-3.31,131.12,594.62,0.897,32.13,0.554,z15
350,202.0,263.0,0.0,35.84,2.39,37.62,-1.78,121.01,842.01,0.853,38.52,0.603,z15
351,275.0,105.0,1.0,40.08,1.77,41.49,-1.41,121.58,1048.18,0.842,42.97,0.541,z15
352,101.0,149.0,1.0,24.39,1.63,26.44,-2.05,134.24,394.97,0.935,27.08,0.609,z15
354,243.0,302.0,0.0,30.11,1.36,32.63,-2.52,129.59,605.47,0.89,32.82,0.667,z15
355,145.0,89.0,0.0,28.58,1.44,30.85,-2.27,130.12,575.09,0.892,31.32,0.571,z15
357,214.0,229.0,0.0,35.88,1.58,38.57,-2.69,123.41,887.59,0.908,38.43,0.561,z13
358,297.0,300.0,0.0,40.07,1.79,44.59,-4.52,122.85,1004.77,0.899,42.9,0.529,z15
359,50.0,64.0,0.0,42.36,1.77,44.15,-1.79,115.79,1204.43,0.838,44.76,0.573,z15
360,155.0,165.0,0.0,29.24,1.5,32.19,-2.95,129.28,598.96,0.904,32.05,0.509,z15
361,9.0,131.0,0.0,33.39,1.6,36.55,-3.16,119.77,770.4,0.891,35.88,0.525,z15
362,260.0,309.0,0.0,39.6,1.95,41.71,-2.11,121.97,1054.69,0.84,42.46,0.632,z15
363,33.0,303.0,0.0,31.33,1.44,34.71,-3.38,121.2,685.76,0.913,33.85,0.567,z15
