Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
41,327.00,19.00,37.09,127.00,933.16,0.843,4.67,45.99,0.375
42,478.00,35.00,37.48,124.29,976.56,0.856,5.89,48.84,0.390
43,345.00,114.00,48.51,118.61,1638.45,0.923,5.51,58.09,0.355
44,407.00,266.00,31.84,134.11,666.23,0.897,5.53,42.18,0.416
45,382.00,91.00,40.11,123.01,1143.66,0.870,6.22,51.58,0.392
46,467.00,239.00,43.38,122.32,1299.91,0.872,5.74,54.66,0.343
47,453.00,178.00,40.72,123.07,1165.36,0.911,5.05,50.83,0.672
48,353.00,204.00,35.61,128.42,837.67,0.849,5.58,45.89,0.368
49,445.00,159.00,41.90,122.76,1195.75,0.853,6.27,53.20,0.374
50,374.00,429.00,29.36,132.08,590.28,0.891,5.43,39.80,0.346
51,451.00,455.00,29.26,131.37,590.28,0.926,5.19,39.46,0.399
52,382.00,389.00,57.43,116.03,2302.52,0.757,5.60,68.26,0.317
53,430.00,477.00,36.12,123.87,870.23,0.863,6.08,47.53,0.365
54,335.00,495.00,37.75,122.00,1011.28,0.887,6.31,49.14,0.352
55,413.00,351.00,39.11,125.27,920.14,0.784,5.01,48.36,0.385
56,437.00,339.00,47.74,119.49,1410.59,0.815,5.67,57.94,0.330
57,477.00,401.00,31.29,128.99,640.19,0.861,5.58,41.67,0.356
58,466.00,464.00,34.59,125.61,826.82,0.884,6.00,45.87,0.389
59,390.00,444.00,45.60,118.75,1330.30,0.820,6.09,56.87,0.393
60,430.00,431.00,38.85,121.67,1032.99,0.880,5.81,49.67,0.362
61,442.00,41.00,53.55,115.62,2035.59,0.903,6.12,63.76,0.397
62,342.00,248.00,44.33,120.58,1414.93,0.910,5.96,55.35,0.373
63,426.00,61.00,52.29,116.85,1918.40,0.895,5.59,61.93,0.372
64,363.00,100.00,44.04,121.02,1375.87,0.907,5.47,54.09,0.365
65,283.00,379.00,38.26,125.72,1002.60,0.905,5.99,49.11,0.351
66,25.00,317.00,35.25,122.07,876.74,0.917,5.49,45.71,0.388
67,170.00,400.00,40.50,121.56,1161.02,0.907,6.34,51.77,0.363
68,224.00,327.00,54.59,116.90,1961.81,0.754,5.58,63.84,0.356
69,281.00,402.00,52.49,117.86,1796.88,0.766,5.66,62.64,0.324
70,274.00,461.00,34.01,126.55,807.29,0.883,5.71,44.71,0.409
71,199.00,347.00,29.61,131.79,605.47,0.890,4.96,39.29,0.391
72,296.00,448.00,30.33,127.73,668.40,0.890,4.88,39.74,0.385
73,65.00,465.00,42.24,116.50,1269.53,0.883,5.28,52.80,0.439
74,60.00,318.00,46.47,117.24,1464.84,0.853,5.78,56.73,0.344
75,117.00,456.00,37.55,124.88,952.69,0.878,5.55,47.66,0.385
76,140.00,466.00,60.99,114.52,2556.42,0.816,6.18,71.07,0.366
77,47.00,435.00,36.51,122.38,917.97,0.910,6.02,47.55,0.379
78,292.00,354.00,28.62,135.50,544.70,0.913,5.47,38.89,0.458
79,25.00,427.00,36.77,118.73,950.52,0.922,6.23,47.51,0.400
80,60.00,447.00,32.41,126.76,707.47,0.826,4.38,39.82,0.350
81,203.00,315.00,35.84,125.87,894.10,0.842,5.80,47.28,0.377
82,302.00,370.00,43.55,120.23,1295.57,0.869,5.56,53.25,0.412
83,216.00,348.00,37.29,125.14,959.20,0.866,4.64,45.94,0.385
84,184.00,316.00,36.66,125.60,894.10,0.842,4.90,46.26,0.388
85,101.00,446.00,36.18,123.66,909.29,0.901,6.47,47.63,0.360
86,158.00,452.00,31.22,131.18,664.06,0.917,4.72,40.21,0.312
87,175.00,334.00,42.18,120.95,1284.72,0.900,5.17,52.53,0.333
88,247.00,381.00,42.18,120.66,1278.21,0.912,5.41,51.99,0.390
