Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
440,283.0,34.0,1.0,41.9,6.06,44.59,-2.69,121.25,1239.15,0.884,52.59,0.382,z13
441,83.0,197.0,0.0,45.84,5.92,49.05,-3.21,117.84,1417.1,0.806,56.04,0.431,z15
442,156.0,140.0,0.0,60.99,5.78,63.07,-2.08,111.88,2588.98,0.822,70.13,0.338,z07
443,78.0,218.0,0.0,40.02,5.46,42.44,-2.42,121.78,1113.28,0.894,50.11,0.385,z15
444,41.0,199.0,0.0,35.53,5.57,37.73,-2.2,121.14,881.08,0.893,45.91,0.423,z12
445,118.0,9.0,0.0,34.1,5.61,38.06,-3.96,128.46,802.95,0.907,45.07,0.388,z13
446,16.0,13.0,0.0,41.84,5.84,44.2,-2.36,116.96,1187.07,0.847,52.09,0.35,z15
447,261.0,167.0,1.0,56.06,6.18,57.62,-1.56,116.3,2131.08,0.835,66.18,0.326,z15
448,194.0,259.0,1.0,31.07,5.25,35.06,-3.99,131.78,659.72,0.911,40.95,0.363,z13
449,41.0,37.0,1.0,37.61,5.55,39.82,-2.21,120.79,987.41,0.884,47.96,0.384,z13
450,32.0,253.0,0.0,34.49,5.78,38.66,-4.17,123.6,815.97,0.922,44.49,0.399,z13
451,113.0,91.0,0.0,31.75,5.62,34.96,-3.21,128.47,705.3,0.916,42.53,0.429,z13
452,141.0,103.0,0.0,34.49,5.89,39.87,-5.38,124.75,828.99,0.936,45.51,0.39,z11
453,177.0,282.0,0.0,41.13,5.14,44.0,-2.87,121.21,1187.07,0.879,50.35,0.307,z11
454,215.0,48.0,0.0,39.77,5.57,43.95,-4.18,123.27,1098.09,0.899,49.7,0.363,z13
455,214.0,128.0,1.0,32.4,5.55,36.51,-4.11,129.07,746.53,0.914,43.14,0.42,z15
456,134.0,53.0,0.0,35.67,5.87,38.35,-2.68,125.48,876.74,0.917,46.58,0.378,z13
457,58.0,258.0,0.0,47.57,5.76,52.21,-4.64,115.97,1534.29,0.845,58.1,0.338,z15
458,26.0,175.0,0.0,41.93,5.79,43.66,-1.73,114.98,1247.83,0.89,52.49,0.4,z11
459,90.0,148.0,0.0,49.18,6.15,49.96,-0.78,116.8,1692.71,0.896,60.0,0.393,z11
460,110.0,236.0,0.0,49.7,6.1,52.38,-2.68,117.24,1664.5,0.805,60.66,0.333,z11
461,267.0,245.0,1.0,53.59,5.68,55.31,-1.72,116.88,2061.63,0.915,63.55,0.387,z09
462,229.0,161.0,1.0,32.61,5.37,36.65,-4.04,130.7,755.21,0.925,43.36,0.368,z15
463,282.0,178.0,0.0,37.79,5.24,43.05,-5.26,125.0,1000.43,0.896,47.58,0.352,z15
464,101.0,312.0,0.0,38.06,6.04,41.59,-3.53,123.98,1028.65,0.902,49.39,0.381,z13
465,280.0,55.0,0.0,41.79,5.77,45.69,-3.9,121.11,1230.47,0.878,52.07,0.35,z15
466,117.0,202.0,0.0,35.69,5.32,38.75,-3.06,126.0,870.23,0.89,45.74,0.379,z12
467,177.0,263.0,1.0,32.94,5.51,38.92,-5.98,128.32,748.7,0.895,43.15,0.342,z13
468,127.0,34.0,0.0,39.09,5.61,41.51,-2.42,122.83,1059.03,0.867,49.47,0.366,z13
469,169.0,47.0,1.41,42.26,5.85,43.25,-0.99,121.79,1193.58,0.858,53.2,0.575,z15
470,21.0,237.0,1.0,41.8,4.66,44.76,-2.96,117.69,1174.05,0.86,50.99,0.369,z15
471,45.0,240.0,1.0,37.4,5.69,40.63,-3.23,122.2,954.86,0.899,47.53,0.385,z13
472,20.0,35.0,0.0,47.0,6.07,48.5,-1.5,113.51,1503.91,0.828,57.52,0.411,z15
473,20.0,297.0,0.0,45.41,5.42,47.23,-1.82,114.62,1423.61,0.863,54.69,0.367,z13
475,385.0,488.0,1.0,32.01,3.32,32.17,-0.16,152.25,592.45,0.857,38.65,0.153,z04
477,61.0,371.0,1.0,45.07,5.62,45.6,-0.53,115.4,1425.78,0.901,53.81,0.309,z13
478,122.0,354.0,1.0,52.55,5.61,54.95,-2.4,116.13,2000.87,0.914,62.71,0.345,z11
479,265.0,424.0,0.0,62.77,5.61,62.77,0.0,114.12,2734.38,0.823,72.3,0.355,z08
480,84.0,327.0,0.0,54.53,5.61,56.19,-1.66,114.39,2152.78,0.892,64.48,0.299,z12
481,109.0,332.0,1.0,45.07,6.04,47.84,-2.77,119.75,1453.99,0.903,56.38,0.317,z13
482,150.0,391.0,0.0,47.29,6.15,48.85,-1.56,118.1,1586.37,0.893,58.21,0.382,z11
483,124.0,433.0,1.0,58.34,5.28,59.89,-1.55,113.46,2350.26,0.813,67.69,0.44,z08
484,495.0,489.0,0.0,32.63,0.59,32.63,0.0,150.4,575.09,0.832,33.81,0.14,z01
487,313.0,307.0,0.0,39.14,5.78,39.6,-0.46,122.25,1000.43,0.86,49.58,0.377,z09
488,73.0,182.0,0.0,23.85,5.64,27.9,-4.05,130.54,390.62,0.925,34.34,0.437,z15
489,328.0,117.0,1.0,25.21,5.32,29.8,-4.59,128.26,358.07,0.769,35.84,0.367,z00
491,154.0,322.0,0.0,55.96,4.29,57.44,-1.48,116.6,2194.01,0.879,112.19,0.56,z12
492,247.0,334.0,0.0,43.58,6.41,44.56,-0.98,122.51,1254.34,0.87,54.75,0.345,z12
493,30.0,447.0,0.0,40.93,5.58,42.96,-2.03,116.28,1215.28,0.917,50.99,0.387,z13
494,168.0,382.0,0.0,31.95,6.07,35.89,-3.94,128.56,707.47,0.897,43.35,0.39,z13
495,219.0,412.0,0.0,44.49,5.78,46.26,-1.77,119.32,1393.23,0.896,54.77,0.404,z12
496,136.0,373.0,1.0,43.33,5.8,46.33,-3.0,120.64,1312.93,0.881,53.26,0.361,z12
497,243.0,357.0,1.0,49.29,5.16,50.39,-1.1,117.67,1681.86,0.858,58.0,0.317,z11
498,59.0,345.0,0.0,56.12,6.3,56.97,-0.85,111.92,2263.45,0.882,66.37,0.322,z11
499,261.0,448.0,0.0,37.66,5.08,39.19,-1.53,124.1,1002.6,0.879,47.11,0.351,z12
501,286.0,434.0,0.0,33.37,5.96,35.84,-2.47,127.98,770.4,0.891,44.74,0.384,z12
502,61.0,416.0,0.0,44.59,4.57,46.02,-1.43,116.22,1408.42,0.89,51.78,0.32,z12
503,258.0,399.0,1.0,41.04,5.65,43.05,-2.01,124.18,1128.47,0.865,51.58,0.394,z11
504,46.0,399.0,0.0,40.93,5.68,42.44,-1.51,117.69,1169.7,0.89,50.2,0.358,z12
505,23.0,400.0,0.0,50.86,6.32,51.58,-0.72,112.47,1820.75,0.9,61.4,0.338,z15
506,14.0,458.0,1.0,36.43,5.58,39.21,-2.78,118.67,928.82,0.901,46.59,0.37,z12
507,309.0,432.0,1.0,48.62,5.08,49.87,-1.25,117.9,1623.26,0.841,58.37,0.581,z13
508,308.0,141.0,0.0,32.13,5.83,34.88,-2.75,130.22,687.93,0.894,42.99,0.408,z15
509,202.0,498.0,0.0,48.32,5.42,48.32,0.0,118.52,1644.97,0.891,58.41,0.36,z08
510,161.0,479.0,0.0,38.22,5.75,43.3,-5.08,125.82,1024.31,0.873,49.29,0.344,z11
511,226.0,443.0,0.0,39.05,5.6,43.97,-4.92,123.93,1074.22,0.897,49.58,0.363,z13
512,35.0,351.0,0.0,45.21,5.69,47.36,-2.15,114.83,1438.8,0.887,55.22,0.584,z13
513,175.0,463.0,1.0,48.77,5.96,48.87,-0.1,117.16,1666.67,0.883,59.1,0.347,z15
514,132.0,332.0,0.0,41.22,6.11,44.59,-3.37,122.5,1210.94,0.904,51.75,0.363,z12
515,192.0,478.0,1.0,40.65,5.25,42.76,-2.11,123.38,1171.88,0.898,50.66,0.342,z11
516,111.0,379.0,0.0,59.38,6.1,62.54,-3.16,114.04,2489.15,0.854,70.43,0.347,z13
517,276.0,330.0,0.0,45.0,5.99,49.05,-4.05,120.13,1391.06,0.901,55.47,0.365,z12
519,216.0,481.0,0.0,40.8,5.19,42.56,-1.76,122.21,1141.49,0.899,49.88,0.321,z13
520,90.0,398.0,0.0,44.44,6.14,46.27,-1.83,117.88,1369.36,0.865,54.69,0.309,z11
521,138.0,412.0,0.0,46.72,4.78,48.04,-1.32,119.44,1575.52,0.902,54.81,0.329,z15
522,63.0,294.0,1.41,27.95,5.93,32.12,-4.17,129.24,533.85,0.921,38.55,0.391,z15
523,306.0,263.0,1.0,41.36,5.54,43.69,-2.33,121.45,1145.83,0.846,50.86,0.402,z13
525,203.0,154.0,0.0,23.53,4.94,27.41,-3.88,140.18,368.92,0.916,33.18,0.408,z13
526,221.0,96.0,0.0,35.02,5.55,37.65,-2.63,125.81,833.33,0.871,45.3,0.409,z15
527,57.0,199.0,0.0,24.59,5.72,28.98,-4.39,134.22,425.35,0.901,35.93,0.467,z15
529,119.0,147.0,1.0,29.91,4.88,32.94,-3.03,126.03,572.92,0.865,39.23,0.386,z15
530,29.0,80.0,1.0,24.39,4.52,26.98,-2.59,122.23,386.28,0.915,32.34,0.46,z15
531,107.0,114.0,0.0,24.06,5.96,27.23,-3.17,137.34,384.11,0.88,35.49,0.488,z15
532,241.0,307.0,1.41,49.06,5.93,50.38,-1.32,118.96,1586.37,0.854,59.1,0.391,z12
533,70.0,26.0,0.0,23.29,5.28,27.33,-4.04,137.14,364.58,0.906,33.44,0.389,z15
534,50.0,151.0,1.0,31.73,5.94,34.41,-2.68,123.5,685.76,0.913,42.25,0.376,z13
535,45.0,179.0,0.0,26.44,5.76,30.2,-3.76,132.06,464.41,0.924,37.56,0.473,z13
536,277.0,207.0,1.0,40.76,5.03,44.36,-3.6,123.96,1117.62,0.873,49.45,0.366,z13
537,300.0,295.0,1.0,26.66,5.71,31.81,-5.15,118.19,481.77,0.881,36.54,0.425,z15
538,266.0,226.0,1.0,27.95,4.99,35.72,-7.77,123.17,538.19,0.928,37.09,0.37,z15
539,86.0,121.0,1.0,24.78,4.85,28.67,-3.89,130.32,407.99,0.904,32.18,0.371,z15
540,131.0,17.0,1.41,24.73,5.6,27.95,-3.22,136.47,403.65,0.895,35.52,0.416,z15
541,225.0,9.0,1.0,31.05,5.55,32.94,-1.89,128.39,638.02,0.85,41.2,0.374,z12
542,285.0,229.0,1.41,46.13,5.81,47.3,-1.17,123.41,1447.48,0.863,56.63,0.345,z13
543,122.0,186.0,0.0,29.83,5.65,34.76,-4.93,129.12,572.92,0.913,40.48,0.392,z15
544,54.0,127.0,2.24,41.16,4.73,46.82,-5.66,118.79,1104.6,0.809,49.3,0.293,z15
545,40.0,164.0,1.0,27.26,5.51,32.61,-5.35,129.42,505.64,0.898,38.26,0.443,z13
