Center_X_px,Center_Y_px,Diameter_μm,slide
478.0,190.0,42.9,z12
480.0,171.0,42.86,z13
320.0,249.0,42.83,z12
211.0,168.0,42.8,z13
327.0,229.0,42.77,z12
192.0,477.0,42.76,z11
266.0,127.0,42.59,z13
216.0,481.0,42.56,z13
366.0,21.0,42.55,z13
372.0,474.0,42.49,z12
78.0,218.0,42.44,z15
46.0,399.0,42.44,z12
411.0,483.0,42.34,z12
237.0,399.0,42.33,z13
485.0,457.0,42.25,z12
169.0,75.0,42.18,z13
331.0,317.0,42.18,z13
67.0,396.0,42.18,z11
371.0,204.0,42.18,z00
118.0,167.0,42.18,z15
387.0,325.0,42.16,z12
170.0,401.0,42.15,z11
281.0,310.0,42.15,z13
161.0,108.0,41.99,z12
239.0,491.0,41.91,z12
138.0,300.0,41.87,z11
187.0,35.0,41.82,z12
301.0,244.0,41.81,z13
137.0,176.0,41.75,z15
327.0,19.0,41.67,z13
495.0,91.0,41.64,z15
101.0,312.0,41.59,z13
373.0,494.0,41.52,z09
127.0,34.0,41.51,z13
249.0,14.0,41.51,z13
246.0,125.0,41.46,z13
122.0,107.0,41.36,z13
382.0,91.0,41.3,z12
206.0,66.0,41.17,z13
217.0,348.0,41.17,z13
388.0,72.0,41.16,z15
487.0,109.0,40.98,z11
408.0,283.0,40.97,z00
118.0,475.0,40.93,z12
413.0,351.0,40.93,z15
45.0,461.0,40.9,z11
101.0,446.0,40.87,z12
424.0,200.0,40.85,z15
372.0,313.0,40.85,z12
101.0,465.0,40.84,z11
284.0,379.0,40.78,z13
478.0,35.0,40.76,z11
226.0,381.0,40.74,z13
483.0,383.0,40.73,z13
184.0,205.0,40.67,z13
46.0,240.0,40.63,z13
87.0,236.0,40.62,z11
194.0,298.0,40.62,z13
29.0,55.0,40.58,z12
156.0,497.0,40.54,z13
286.0,259.0,40.53,z13
361.0,188.0,40.5,z15
421.0,260.0,40.47,z00
217.0,146.0,40.45,z11
409.0,123.0,40.45,z11
388.0,346.0,40.42,z11
154.0,232.0,40.37,z13
174.0,354.0,40.36,z13
104.0,274.0,40.31,z12
235.0,83.0,40.24,z15
117.0,456.0,40.17,z11
262.0,316.0,40.13,z15
187.0,444.0,40.1,z13
315.0,500.0,40.05,z02
483.0,70.0,40.02,z12
459.0,291.0,39.95,z15
348.0,390.0,39.92,z12
141.0,103.0,39.87,z11
255.0,79.0,39.85,z12
148.0,17.0,39.83,z13
41.0,38.0,39.82,z13
58.0,215.0,39.8,z15
390.0,305.0,39.78,z13
336.0,495.0,39.71,z12
25.0,317.0,39.66,z15
185.0,316.0,39.66,z11
313.0,307.0,39.6,z09
97.0,253.0,39.53,z13
460.0,272.0,39.43,z11
457.0,198.0,39.43,z00
430.0,431.0,39.33,z09
14.0,459.0,39.21,z12
261.0,448.0,39.19,z12
75.0,164.0,39.18,z15
186.0,382.0,39.06,z12
47.0,435.0,39.04,z12
424.0,134.0,38.95,z13
467.0,373.0,38.93,z12
178.0,263.0,38.92,z13
66.0,142.0,38.92,z12
485.0,248.0,38.92,z13
442.0,210.0,38.87,z15
425.0,27.0,38.87,z11
25.0,427.0,38.81,z15
452.0,253.0,38.75,z01
117.0,202.0,38.75,z12
493.0,328.0,38.72,z11
204.0,315.0,38.68,z12
32.0,253.0,38.66,z13
496.0,263.0,38.58,z15
328.0,339.0,38.56,z15
