Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
73,466.0,205.0,10.51,z_15,35.63,789.93,0.864,2,"z_15,z_16","10.51,10.38"
74,393.0,104.0,10.51,z_16,31.81,614.15,0.826,1,z_16,10.51
75,432.0,229.0,10.51,z_16,32.19,679.25,0.823,1,z_16,10.51
76,409.0,96.0,10.5,z_15,32.61,546.88,0.813,1,z_15,10.50
77,408.0,25.0,10.48,z_15,34.67,672.74,0.853,1,z_15,10.48
78,473.0,309.0,10.48,z_16,32.94,670.57,0.841,1,z_16,10.48
79,429.0,99.0,10.47,z_16,39.55,935.33,0.781,1,z_16,10.47
80,474.0,183.0,10.44,z_15,45.8,1273.87,0.846,1,z_15,10.44
81,249.0,344.0,10.43,z_16,23.02,292.97,0.769,2,"z_15,z_16","10.10,10.43"
82,411.0,139.0,10.4,z_15,36.06,813.8,0.882,1,z_15,10.40
83,361.0,153.0,10.4,z_16,32.54,601.13,0.809,2,"z_15,z_16","10.22,10.40"
84,263.0,444.0,10.4,z_16,21.25,273.44,0.825,1,z_16,10.40
85,347.0,301.0,10.32,z_16,26.72,421.01,0.838,1,z_16,10.32
86,421.0,353.0,10.31,z_16,41.13,881.08,0.855,1,z_16,10.31
87,495.0,162.0,10.29,z_15,23.41,321.18,0.838,1,z_15,10.29
88,441.0,187.0,10.28,z_15,36.38,716.15,0.809,2,"z_15,z_16","10.28,10.20"
89,455.0,177.0,10.26,z_15,25.17,332.03,0.797,1,z_15,10.26
90,353.0,104.0,10.22,z_15,32.39,625.0,0.804,1,z_15,10.22
91,436.0,201.0,10.17,z_16,25.86,388.45,0.834,1,z_16,10.17
92,497.0,144.0,10.15,z_16,42.9,1204.43,0.906,1,z_16,10.15
93,460.0,298.0,10.15,z_16,37.09,811.63,0.876,1,z_16,10.15
94,354.0,232.0,10.13,z_15,28.05,499.13,0.897,1,z_15,10.13
95,362.0,195.0,10.05,z_15,37.27,842.01,0.827,1,z_15,10.05
96,500.0,86.0,10.04,z_16,38.25,865.89,0.858,1,z_16,10.04
97,373.0,347.0,10.04,z_16,40.16,974.39,0.792,1,z_16,10.04
98,372.0,141.0,10.0,z_15,29.04,518.66,0.836,1,z_15,10.00
