BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
282,42.00,736.00,48.08,174.49,1680.97,0.892,267,43.00,734.00,49.73,37.01,1723.88,0.861
286,99.00,577.00,44.41,178.23,1424.22,0.907,269,101.00,576.00,45.69,36.98,1521.80,0.887
287,306.00,877.00,44.13,180.98,1426.30,0.887,304,306.00,874.00,46.16,40.70,1548.79,0.883
288,109.00,769.00,46.42,175.45,1569.55,0.883,270,110.00,767.00,48.77,37.50,1693.43,0.887
289,360.00,438.00,48.27,181.87,1737.02,0.891,316,360.00,437.00,50.26,39.41,1808.30,0.877
289,360.00,438.00,48.27,181.87,1737.02,0.891,381,360.00,436.00,48.52,38.94,1604.15,0.872
290,295.00,513.00,44.18,185.05,1451.21,0.903,252,296.00,512.00,46.14,37.82,1566.09,0.901
291,234.00,745.00,43.80,182.02,1414.53,0.901,302,235.00,743.00,46.14,39.62,1541.87,0.879
292,125.00,855.00,42.58,177.68,1337.72,0.898,255,126.00,853.00,45.09,35.23,1479.58,0.882
294,176.00,803.00,45.78,178.26,1528.03,0.911,317,177.00,801.00,47.61,37.83,1640.83,0.886
296,74.00,656.00,48.32,172.24,1722.49,0.902,282,76.00,654.00,50.22,36.56,1869.90,0.893
297,103.00,537.00,48.62,175.30,1750.87,0.898,285,104.00,535.00,50.45,45.12,1825.61,0.882
299,185.00,602.00,44.08,180.98,1401.38,0.884,258,186.00,601.00,45.62,36.45,1513.49,0.906
300,21.00,593.00,43.68,178.80,1407.61,0.896,264,23.00,591.00,45.94,33.97,1522.49,0.896
301,253.00,919.00,47.44,173.78,1691.35,0.906,290,254.00,917.00,50.34,46.36,1815.22,0.896
302,175.00,485.00,44.09,180.99,1417.30,0.885,309,176.00,483.00,46.60,43.83,1546.71,0.869
302,175.00,485.00,44.09,180.99,1417.30,0.885,369,176.00,484.00,46.94,43.67,1585.47,0.841
303,268.00,398.00,49.98,178.66,1846.37,0.908,278,269.00,396.00,51.08,46.06,1880.97,0.883
308,348.00,399.00,44.06,185.95,1431.83,0.891,284,349.00,397.00,45.61,35.94,1505.88,0.874
308,348.00,399.00,44.06,185.95,1431.83,0.891,635,349.00,398.00,46.29,38.73,1539.10,0.866
309,132.00,809.00,54.33,168.40,2213.84,0.892,281,132.00,807.00,56.80,40.62,2360.55,0.883
309,132.00,809.00,54.33,168.40,2213.84,0.892,622,133.00,807.00,58.61,39.78,2487.89,0.885
310,50.00,449.00,41.86,175.69,1289.27,0.896,330,51.00,448.00,42.61,42.44,1328.72,0.875
311,367.00,478.00,43.66,185.22,1409.69,0.889,265,368.00,476.00,45.42,37.41,1493.43,0.890
312,200.00,971.00,44.98,170.91,1478.20,0.893,327,201.00,969.00,46.88,49.17,1582.01,0.897
313,227.00,577.00,46.46,181.33,1608.30,0.888,260,228.00,575.00,48.51,39.27,1714.88,0.891
314,322.00,477.00,44.70,186.60,1445.67,0.882,295,324.00,475.00,46.32,37.04,1557.09,0.887
315,295.00,915.00,46.38,176.33,1591.70,0.890,307,296.00,914.00,48.51,44.76,1713.49,0.890
318,33.00,665.00,45.50,175.26,1532.18,0.885,301,35.00,663.00,47.50,35.04,1627.68,0.899
320,266.00,878.00,45.01,178.90,1504.50,0.885,275,266.00,876.00,47.63,40.22,1642.91,0.891
322,224.00,664.00,44.10,179.94,1438.06,0.903,322,224.00,662.00,46.30,38.14,1557.09,0.899
324,261.00,677.00,44.18,181.54,1447.75,0.892,294,262.00,675.00,46.28,38.90,1555.71,0.882
325,110.00,616.00,44.09,177.78,1438.75,0.907,262,111.00,614.00,46.09,34.37,1562.63,0.902
325,110.00,616.00,44.09,177.78,1438.75,0.907,646,111.00,614.00,47.49,35.75,1606.92,0.899
327,230.00,704.00,47.66,177.05,1682.35,0.881,296,231.00,703.00,49.63,39.85,1796.54,0.894
329,341.00,730.00,43.62,184.78,1397.23,0.894,321,342.00,728.00,45.09,42.38,1472.66,0.895
330,341.00,620.00,45.49,182.89,1532.18,0.901,266,342.00,619.00,48.08,40.62,1686.51,0.911
330,341.00,620.00,45.49,182.89,1532.18,0.901,335,342.00,619.00,48.96,41.43,1733.56,0.881
333,62.00,532.00,44.68,177.07,1478.20,0.893,319,63.00,531.00,46.47,41.47,1539.10,0.877
334,213.00,820.00,43.69,180.26,1417.30,0.890,291,214.00,818.00,46.57,38.69,1600.00,0.888
335,321.00,981.00,46.48,173.78,1580.62,0.913,308,322.00,979.00,48.86,52.30,1725.95,0.896
