XY_Distance,BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
1.0,225.0,663.0,399.0,46.27,184.53,1573.7,0.897,80.0,663.0,398.0,47.81,43.08,1682.35,0.897
2.0,226.0,869.0,785.0,43.81,181.81,1387.54,0.9,144.0,869.0,783.0,45.67,43.04,1524.57,0.889
3.1622776601683795,227.0,478.0,985.0,42.82,180.41,1339.1,0.886,101.0,479.0,982.0,45.42,42.24,1513.49,0.899
3.0,230.0,819.0,824.0,43.54,182.16,1367.47,0.871,145.0,819.0,821.0,45.78,42.83,1525.26,0.897
3.0,231.0,940.0,822.0,48.74,173.68,1668.51,0.838,88.0,940.0,819.0,51.11,44.26,1911.42,0.898
3.605551275463989,232.0,998.0,955.0,43.4,166.9,1342.56,0.897,151.0,1001.0,953.0,44.61,50.9,1440.83,0.871
1.4142135623730951,233.0,440.0,659.0,29.0,203.3,604.15,0.897,154.0,441.0,658.0,30.59,31.89,631.83,0.892
2.0,234.0,475.0,686.0,47.21,182.4,1652.6,0.901,0.0,475.0,684.0,48.79,44.53,1748.1,0.892
4.242640687119285,235.0,960.0,964.0,48.19,168.43,1598.62,0.889,149.0,963.0,961.0,49.87,50.66,1775.78,0.895
1.0,238.0,821.0,582.0,21.78,216.05,332.18,0.863,211.0,822.0,582.0,22.25,28.93,302.42,0.859
3.1622776601683795,239.0,989.0,916.0,43.49,169.93,1385.47,0.895,147.0,988.0,913.0,44.49,48.85,1452.6,0.898
1.4142135623730951,240.0,925.0,571.0,45.35,187.14,1500.35,0.883,108.0,924.0,570.0,46.21,42.34,1543.94,0.888
1.4142135623730951,241.0,543.0,618.0,47.04,181.98,1626.99,0.89,55.0,544.0,617.0,47.88,45.39,1639.45,0.886
3.1622776601683795,242.0,555.0,968.0,49.71,177.77,1820.76,0.899,150.0,556.0,965.0,50.6,44.84,1863.67,0.889
2.0,243.0,979.0,606.0,44.42,187.05,1447.06,0.895,138.0,979.0,604.0,46.27,43.05,1496.19,0.892
1.0,245.0,439.0,417.0,74.71,173.59,3679.58,0.758,13.0,439.0,416.0,72.33,52.34,3906.57,0.89
1.0,245.0,439.0,417.0,74.71,173.59,3679.58,0.758,643.0,439.0,416.0,72.51,51.11,3941.18,0.891
2.23606797749979,250.0,79.0,396.0,61.87,164.24,2881.66,0.896,250.0,80.0,394.0,62.65,52.4,2928.72,0.89
3.0,251.0,222.0,890.0,48.87,176.55,1749.48,0.897,261.0,222.0,887.0,51.05,42.19,1895.5,0.902
3.1622776601683795,252.0,263.0,637.0,48.01,176.37,1701.04,0.895,271.0,264.0,634.0,50.16,39.93,1836.68,0.899
2.23606797749979,252.0,263.0,637.0,48.01,176.37,1701.04,0.895,380.0,264.0,635.0,50.6,39.47,1878.2,0.893
3.1622776601683795,254.0,153.0,769.0,46.99,175.14,1638.75,0.905,297.0,154.0,766.0,48.6,38.11,1711.42,0.881
2.8284271247461903,256.0,178.0,524.0,43.93,179.72,1429.76,0.893,323.0,180.0,522.0,45.85,42.76,1512.8,0.873
2.23606797749979,257.0,309.0,655.0,60.17,171.0,2706.57,0.894,280.0,310.0,653.0,61.3,48.27,2795.16,0.884
2.23606797749979,257.0,309.0,655.0,60.17,171.0,2706.57,0.894,610.0,310.0,653.0,62.75,46.43,2859.52,0.886
