Center_X_px,Center_Y_px,Diameter_μm,slide
124.0,425.0,34.06,z13
463.0,225.0,34.06,z13
330.0,125.0,34.03,z13
416.0,94.0,34.03,z13
342.0,76.0,34.02,z13
243.0,138.0,34.02,z13
428.0,369.0,34.02,z13
463.0,80.0,34.02,z13
381.0,128.0,33.94,z13
320.0,263.0,33.91,z13
152.0,405.0,33.87,z13
368.0,247.0,33.77,z13
31.0,227.0,33.71,z13
137.0,33.0,33.71,z13
321.0,409.0,33.7,z12
459.0,65.0,33.7,z13
495.0,246.0,33.68,z13
274.0,62.0,33.62,z13
17.0,86.0,33.61,z12
346.0,498.0,33.57,z13
64.0,461.0,33.55,z13
284.0,156.0,33.45,z13
447.0,166.0,33.45,z13
429.0,255.0,33.45,z13
374.0,143.0,33.21,z13
63.0,14.0,33.21,z13
453.0,392.0,33.14,z13
237.0,194.0,33.1,z13
223.0,15.0,33.02,z13
457.0,281.0,32.95,z13
391.0,199.0,32.94,z13
243.0,258.0,32.82,z13
156.0,492.0,32.81,z13
385.0,231.0,32.81,z13
110.0,486.0,32.79,z12
418.0,162.0,32.62,z13
283.0,23.0,32.61,z13
141.0,492.0,32.5,z13
169.0,169.0,32.47,z13
250.0,245.0,32.43,z13
123.0,410.0,32.08,z13
269.0,347.0,32.06,z13
321.0,98.0,31.97,z13
16.0,133.0,31.88,z13
437.0,151.0,31.87,z13
121.0,370.0,31.85,z13
185.0,365.0,31.83,z13
247.0,22.0,31.8,z13
390.0,99.0,31.79,z13
433.0,165.0,31.78,z13
322.0,182.0,31.78,z13
400.0,425.0,31.48,z09
331.0,213.0,31.35,z13
320.0,248.0,31.35,z13
401.0,89.0,31.35,z13
222.0,239.0,31.35,z13
146.0,113.0,31.35,z13
209.0,210.0,31.35,z13
140.0,272.0,31.31,z13
7.0,180.0,31.17,z06
321.0,234.0,30.93,z13
494.0,304.0,30.91,z13
267.0,127.0,30.84,z13
24.0,465.0,30.82,z13
11.0,319.0,30.82,z13
148.0,480.0,30.79,z13
426.0,319.0,30.79,z13
233.0,439.0,30.77,z13
485.0,293.0,30.7,z13
176.0,416.0,30.64,z13
23.0,294.0,30.61,z13
423.0,21.0,30.59,z13
346.0,340.0,30.54,z13
474.0,236.0,30.54,z13
310.0,190.0,30.48,z13
174.0,138.0,30.47,z12
270.0,74.0,30.46,z04
