Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
144,300.0,471.0,0.0,44.94,2.79,46.04,-1.1,107.43,1413.88,0.871,47.31,0.5,z13
145,47.0,432.0,0.0,36.57,3.16,39.85,-3.28,115.33,933.49,0.909,42.12,0.35,z13
146,382.0,214.0,0.0,41.77,3.15,44.96,-3.19,117.74,1231.0,0.876,47.36,0.361,z13
147,190.0,349.0,0.0,37.79,3.08,40.37,-2.58,117.28,999.0,0.897,43.09,0.344,z13
148,145.0,421.0,0.0,45.22,2.32,47.62,-2.4,110.85,1381.12,0.899,48.72,0.317,z13
149,185.0,365.0,0.0,29.3,2.3,31.83,-2.53,125.49,573.19,0.907,33.21,0.321,z13
150,269.0,347.0,0.0,29.66,2.65,32.06,-2.4,126.74,605.95,0.918,34.91,0.297,z13
151,302.0,410.0,0.0,38.04,3.08,41.06,-3.02,119.4,985.35,0.865,43.23,0.378,z13
152,105.0,413.0,0.0,38.92,2.85,41.15,-2.23,114.65,1023.56,0.898,43.46,0.387,z13
153,55.0,352.0,0.0,34.91,2.46,37.67,-2.76,114.28,827.04,0.885,38.89,0.373,z13
154,54.0,449.0,0.0,37.05,2.05,39.85,-2.8,117.08,925.3,0.91,40.2,0.308,z13
155,278.0,336.0,1.0,26.8,3.46,27.25,-0.45,128.99,458.56,0.846,33.04,0.339,z12
156,88.0,464.0,0.0,52.45,3.23,54.49,-2.04,105.52,1888.81,0.84,57.19,0.444,z12
157,405.0,148.0,0.0,33.45,2.72,35.74,-2.29,121.79,791.55,0.915,38.89,0.414,z13
158,437.0,151.0,0.0,29.33,2.91,31.87,-2.54,131.02,570.46,0.931,34.77,0.27,z13
159,495.0,231.0,1.0,33.86,2.47,35.95,-2.09,122.04,769.72,0.924,38.53,0.32,z13
160,463.0,225.0,0.0,30.84,2.23,34.06,-3.22,127.88,657.81,0.928,35.3,0.298,z13
161,354.0,152.0,0.0,42.12,3.17,44.64,-2.52,114.27,1187.33,0.87,48.17,0.255,z13
162,371.0,36.0,0.0,35.78,3.04,38.24,-2.46,121.83,884.36,0.891,41.72,0.356,z13
163,391.0,199.0,0.0,30.46,2.48,32.94,-2.48,127.77,625.05,0.882,35.19,0.321,z13
164,356.0,68.0,0.0,35.75,2.49,38.47,-2.72,121.55,876.17,0.905,40.2,0.351,z13
165,467.0,118.0,0.0,34.57,2.69,36.94,-2.37,122.4,810.66,0.88,39.94,0.333,z13
166,359.0,306.0,1.0,45.77,2.18,48.25,-2.48,112.8,1334.72,0.843,50.14,0.156,z13
167,368.0,442.0,0.0,52.62,2.45,52.95,-0.33,104.91,1940.67,0.849,54.36,0.46,z12
168,471.0,250.0,0.0,26.91,2.39,28.82,-1.91,132.08,477.66,0.912,31.48,0.268,z13
169,432.0,165.0,1.0,28.69,3.13,31.78,-3.09,128.2,570.46,0.891,34.88,0.311,z13
170,325.0,198.0,1.0,39.44,3.19,41.82,-2.38,117.64,1037.21,0.862,45.37,0.333,z13
171,418.0,162.0,0.0,29.66,2.7,32.62,-2.96,129.25,611.41,0.927,35.05,0.328,z13
172,472.0,286.0,0.0,36.27,2.67,38.65,-2.38,121.06,933.49,0.909,41.62,0.266,z13
173,322.0,182.0,0.0,29.66,2.59,31.78,-2.12,124.4,592.3,0.925,34.73,0.232,z13
174,411.0,191.0,0.0,27.08,3.11,29.4,-2.32,131.17,494.04,0.9,33.21,0.344,z13
175,323.0,300.0,0.0,32.11,2.42,35.29,-3.18,125.6,728.78,0.898,36.94,0.35,z13
176,467.0,44.0,0.0,28.24,2.24,29.66,-1.42,130.44,537.71,0.878,32.06,0.319,z13
177,338.0,309.0,1.0,38.65,2.88,41.5,-2.85,119.49,1045.4,0.889,44.08,0.284,z13
178,321.0,98.0,0.0,29.3,2.88,31.97,-2.67,129.8,581.38,0.908,35.05,0.292,z13
179,341.0,75.0,1.41,31.35,2.57,34.02,-2.67,128.45,682.37,0.936,36.5,0.269,z13
180,334.0,110.0,0.0,33.5,2.48,36.29,-2.79,124.31,777.91,0.909,38.36,0.329,z13
181,438.0,303.0,0.0,52.14,2.34,54.08,-1.94,109.14,1853.33,0.83,56.57,0.304,z12
182,390.0,99.0,0.0,29.66,2.7,31.79,-2.13,128.99,595.03,0.902,35.05,0.317,z13
183,387.0,167.0,0.0,26.64,2.69,28.96,-2.32,129.07,494.04,0.859,32.01,0.387,z12
184,416.0,303.0,1.0,43.83,2.91,47.15,-3.32,115.13,1345.64,0.869,49.29,0.352,z13
185,421.0,146.0,0.0,38.79,2.95,41.01,-2.22,119.15,1023.56,0.882,44.08,0.327,z13
186,385.0,231.0,0.0,30.85,2.41,32.81,-1.96,127.45,641.43,0.869,35.66,0.325,z13
187,330.0,126.0,1.0,31.09,3.05,34.03,-2.94,125.04,655.08,0.863,36.94,0.329,z13
188,426.0,388.0,0.0,42.75,2.76,45.37,-2.62,113.6,1293.78,0.902,47.52,0.364,z13
189,486.0,273.0,1.0,38.86,3.27,42.38,-3.52,119.42,1023.56,0.898,44.88,0.264,z13
190,479.0,136.0,1.0,44.7,2.66,46.16,-1.46,114.06,1315.62,0.857,48.65,0.352,z12
191,401.0,90.0,1.0,28.91,2.15,31.35,-2.44,128.39,573.19,0.869,33.21,0.278,z13
192,331.0,213.0,0.0,28.44,2.54,31.35,-2.91,129.27,545.9,0.919,33.4,0.333,z13
193,374.0,143.0,0.0,30.37,2.53,33.21,-2.84,126.38,622.33,0.853,35.3,0.329,z13
194,320.0,248.0,0.0,28.25,2.73,31.35,-3.1,130.05,534.98,0.862,33.7,0.41,z13
195,457.0,281.0,0.0,29.92,1.96,32.95,-3.03,125.66,625.05,0.882,33.7,0.294,z13
196,488.0,50.0,1.0,28.53,2.34,30.37,-1.84,129.18,548.63,0.895,33.21,0.254,z13
197,480.0,220.0,0.0,45.65,2.64,47.31,-1.66,113.06,1422.07,0.86,50.62,0.29,z11
198,370.0,360.0,1.0,40.86,2.4,43.16,-2.3,119.2,1110.9,0.903,44.77,0.291,z13
199,406.0,383.0,1.0,49.51,2.55,51.63,-2.12,110.86,1752.34,0.918,53.81,0.317,z13
200,386.0,372.0,0.0,47.62,3.37,49.39,-1.77,112.8,1615.86,0.877,53.42,0.384,z13
201,451.0,411.0,0.0,53.52,2.57,54.63,-1.11,108.35,2022.56,0.906,56.95,0.336,z13
202,410.0,459.0,0.0,51.11,1.89,52.7,-1.59,109.47,1842.41,0.903,53.91,0.347,z13
203,473.0,346.0,0.0,40.58,2.54,43.86,-3.28,117.8,1149.12,0.906,45.08,0.26,z13
204,337.0,400.0,0.0,53.79,2.25,54.83,-1.04,107.31,2044.39,0.915,56.95,0.358,z12
