Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
193,374.00,143.00,30.37,126.38,622.33,0.853,2.53,35.30,0.329
194,320.00,248.00,28.25,130.05,534.98,0.862,2.73,33.70,0.410
195,457.00,281.00,29.92,125.66,625.05,0.882,1.96,33.70,0.294
196,488.00,50.00,28.53,129.18,548.63,0.895,2.34,33.21,0.254
197,480.00,220.00,45.65,113.06,1422.07,0.860,2.64,50.62,0.290
198,370.00,360.00,40.86,119.20,1110.90,0.903,2.40,44.77,0.291
199,406.00,383.00,49.51,110.86,1752.34,0.918,2.55,53.81,0.317
200,386.00,372.00,47.62,112.80,1615.86,0.877,3.37,53.42,0.384
201,451.00,411.00,53.52,108.35,2022.56,0.906,2.57,56.95,0.336
202,410.00,459.00,51.11,109.47,1842.41,0.903,1.89,53.91,0.347
203,473.00,346.00,40.58,117.80,1149.12,0.906,2.54,45.08,0.260
204,337.00,400.00,53.79,107.31,2044.39,0.915,2.25,56.95,0.358
205,364.00,339.00,51.06,110.23,1757.80,0.847,2.97,55.95,0.383
206,331.00,331.00,45.38,113.90,1476.66,0.893,2.61,50.17,0.345
207,494.00,378.00,45.65,114.90,1465.74,0.911,2.52,50.00,0.307
208,449.00,454.00,61.56,105.63,2745.87,0.880,1.64,64.03,0.331
210,321.00,234.00,28.23,127.85,562.28,0.947,2.49,33.21,0.281
211,485.00,293.00,27.94,130.84,529.52,0.892,2.63,33.21,0.290
212,381.00,128.00,31.35,125.18,671.46,0.921,2.83,36.50,0.310
213,336.00,164.00,63.56,104.24,2549.35,0.779,2.45,68.23,0.305
214,408.00,323.00,50.17,111.09,1637.70,0.837,3.21,55.59,0.333
215,484.00,256.00,32.82,123.35,709.67,0.885,2.80,38.07,0.361
216,474.00,236.00,27.71,130.46,524.06,0.883,2.75,33.21,0.290
217,476.00,327.00,38.83,120.18,1072.69,0.883,2.78,44.08,0.318
218,451.00,15.00,27.04,130.95,488.58,0.890,3.11,33.21,0.333
219,495.00,246.00,31.03,125.17,644.16,0.883,3.01,36.50,0.306
220,374.00,70.00,34.58,120.71,829.77,0.879,3.00,40.20,0.372
221,350.00,384.00,39.83,116.06,1110.90,0.876,2.63,44.08,0.376
222,494.00,304.00,29.44,126.81,575.92,0.900,2.81,35.05,0.352
223,472.00,198.00,47.82,110.03,1501.22,0.836,3.04,52.58,0.339
224,314.00,426.00,46.23,110.98,1528.52,0.907,2.14,50.44,0.388
225,338.00,269.00,27.46,127.69,502.23,0.885,2.47,32.01,0.333
226,324.00,354.00,56.82,107.71,2178.14,0.843,2.31,61.34,0.292
227,494.00,321.00,43.10,115.72,1301.97,0.890,2.94,48.62,0.294
228,484.00,115.00,37.83,118.50,1015.37,0.912,2.82,43.46,0.312
229,317.00,114.00,38.68,119.30,1037.21,0.932,2.51,43.17,0.284
230,408.00,285.00,39.36,118.28,1108.18,0.893,3.11,45.37,0.346
231,395.00,246.00,44.10,113.59,1351.10,0.897,2.65,48.79,0.337
232,376.00,192.00,34.94,123.01,867.98,0.919,2.63,40.20,0.333
233,314.00,134.00,46.22,113.94,1512.14,0.897,2.68,50.74,0.379
234,367.00,229.00,46.21,116.08,1509.41,0.913,2.27,50.74,0.315
235,380.00,261.00,46.23,112.95,1501.22,0.868,2.96,51.30,0.356
236,406.00,208.00,44.33,114.54,1424.80,0.902,3.19,50.55,0.342
237,378.00,111.00,41.46,116.56,1184.60,0.887,3.00,47.15,0.282
238,481.00,78.00,40.51,118.72,1173.68,0.879,3.21,46.92,0.311
239,380.00,53.00,39.02,119.71,1080.88,0.898,2.94,44.80,0.299
240,494.00,150.00,45.02,115.93,1402.96,0.914,2.78,50.18,0.266
241,437.00,130.00,56.81,110.80,2098.98,0.843,2.07,60.76,0.295
242,443.00,70.00,38.36,120.16,1034.48,0.908,2.67,43.64,0.282
243,316.00,154.00,37.67,119.91,977.16,0.878,3.16,43.64,0.345
244,336.00,241.00,36.94,119.39,911.65,0.887,2.78,41.91,0.284
245,493.00,204.00,41.03,118.76,1176.41,0.927,2.17,45.37,0.258
246,465.00,152.00,46.56,114.96,1422.07,0.807,1.91,50.38,0.279
247,408.00,175.00,42.12,115.98,1220.08,0.894,2.79,47.30,0.276
248,498.00,169.00,36.94,120.67,1009.91,0.907,3.23,43.40,0.323
249,391.00,75.00,44.80,114.16,1386.58,0.878,2.91,50.15,0.321
250,362.00,51.00,36.85,123.23,925.30,0.910,2.49,41.82,0.293
251,366.00,16.00,45.81,114.25,1495.76,0.912,3.27,51.88,0.369
252,464.00,173.00,45.19,114.34,1457.55,0.923,3.07,50.55,0.371
253,465.00,26.00,46.96,113.65,1585.84,0.900,3.06,52.97,0.345
254,389.00,16.00,49.09,112.90,1670.45,0.854,3.00,54.65,0.378
255,414.00,127.00,45.02,115.08,1424.80,0.902,3.09,50.41,0.361
256,411.00,54.00,44.37,116.55,1389.31,0.897,2.56,49.32,0.306
257,431.00,85.00,40.47,118.93,1143.66,0.901,2.60,45.36,0.292
258,450.00,50.00,43.05,117.36,1304.70,0.910,2.94,48.72,0.337
259,428.00,255.00,30.24,129.05,614.14,0.904,2.34,34.91,0.276
260,437.00,240.00,42.21,117.39,1241.92,0.884,2.94,47.52,0.363
261,416.00,94.00,31.95,127.04,696.02,0.858,2.49,36.94,0.338
262,387.00,283.00,47.31,111.87,1621.32,0.903,2.70,52.55,0.333
263,315.00,217.00,47.12,111.54,1558.54,0.884,3.04,52.58,0.437
264,314.00,63.00,48.27,112.72,1626.78,0.883,2.70,53.28,0.348
265,372.00,161.00,39.38,117.10,1089.07,0.897,2.64,44.67,0.310
266,363.00,130.00,42.14,116.52,1195.52,0.895,2.72,47.31,0.257
267,480.00,181.00,34.87,123.31,827.04,0.885,3.24,41.34,0.313
268,475.00,59.00,39.93,119.59,1124.55,0.906,2.84,45.25,0.327
269,500.00,81.00,39.35,119.33,1086.34,0.875,2.96,45.28,0.361
270,497.00,99.00,40.88,117.28,1146.39,0.884,3.09,46.39,0.291
271,408.00,18.00,31.35,125.92,682.37,0.936,2.57,36.50,0.290
272,482.00,35.00,34.50,124.96,818.85,0.932,2.65,39.79,0.274
273,377.00,300.00,35.52,121.53,854.33,0.882,2.98,41.34,0.376
274,459.00,66.00,30.37,131.21,622.33,0.904,2.46,35.30,0.303
275,396.00,302.00,43.85,113.41,1364.75,0.899,2.19,48.11,0.368
276,346.00,122.00,36.27,120.78,906.19,0.913,2.89,41.72,0.296
277,321.00,264.00,31.35,126.10,687.83,0.943,2.57,36.50,0.292
278,403.00,227.00,40.88,117.45,1132.74,0.893,2.44,45.37,0.233
279,449.00,87.00,34.30,124.89,818.85,0.899,3.00,40.30,0.345
280,447.00,166.00,30.29,128.05,619.60,0.875,2.53,35.30,0.385
