Center_X_px,Center_Y_px,Diameter_μm,slide
295.0,126.0,38.89,z_15
225.0,112.0,38.8,z_15
326.0,118.0,38.79,z_15
121.0,32.0,38.75,z_15
248.0,274.0,38.69,z_15
283.0,440.0,38.68,z_15
153.0,229.0,38.65,z_15
28.0,114.0,38.65,z_15
447.0,256.0,38.53,z_14
287.0,383.0,38.52,z_15
185.0,41.0,38.51,z_15
395.0,37.0,38.49,z_15
90.0,474.0,38.48,z_14
101.0,422.0,38.47,z_14
448.0,483.0,38.45,z_15
84.0,71.0,38.44,z_15
200.0,26.0,38.42,z_15
113.0,248.0,38.42,z_15
120.0,13.0,38.31,z_15
213.0,493.0,38.31,z_15
211.0,9.0,38.25,z_14
488.0,360.0,38.21,z_14
338.0,27.0,38.06,z_14
179.0,110.0,38.01,z_15
500.0,86.0,37.99,z_15
308.0,56.0,37.94,z_14
319.0,214.0,37.92,z_3
100.0,80.0,37.86,z_15
260.0,330.0,37.83,z_13
90.0,40.0,37.83,z_15
448.0,211.0,37.83,z_14
157.0,422.0,37.79,z_15
206.0,99.0,37.78,z_14
239.0,19.0,37.78,z_10
431.0,58.0,37.78,z_15
392.0,401.0,37.69,z_14
221.0,380.0,37.67,z_15
129.0,49.0,37.59,z_14
404.0,356.0,37.55,z_14
149.0,150.0,37.5,z_15
71.0,35.0,37.43,z_15
320.0,250.0,37.4,z_15
412.0,177.0,37.39,z_15
132.0,430.0,37.36,z_15
444.0,424.0,37.29,z_15
357.0,215.0,37.29,z_14
294.0,20.0,37.27,z_15
146.0,460.0,37.23,z_15
304.0,423.0,37.2,z_15
203.0,383.0,37.12,z_13
409.0,96.0,37.12,z_15
135.0,200.0,37.11,z_14
242.0,475.0,37.11,z_14
335.0,378.0,37.1,z_15
334.0,496.0,37.09,z_14
62.0,256.0,37.05,z_15
25.0,9.0,36.97,z_14
151.0,183.0,36.92,z_15
131.0,164.0,36.92,z_15
133.0,182.0,36.92,z_15
40.0,119.0,36.92,z_2
227.0,360.0,36.92,z_15
122.0,140.0,36.9,z_3
485.0,74.0,36.86,z_14
80.0,137.0,36.73,z_15
260.0,96.0,36.71,z_15
402.0,423.0,36.67,z_15
364.0,449.0,36.66,z_15
176.0,262.0,36.63,z_12
409.0,221.0,36.59,z_15
435.0,395.0,36.5,z_15
184.0,296.0,36.49,z_11
481.0,125.0,36.44,z_0
17.0,293.0,36.42,z_15
377.0,158.0,36.38,z_15
332.0,425.0,36.34,z_15
39.0,42.0,36.33,z_15
83.0,341.0,36.2,z_15
47.0,353.0,36.12,z_15
279.0,31.0,36.1,z_15
158.0,282.0,36.09,z_15
289.0,186.0,36.04,z_15
118.0,151.0,35.99,z_15
410.0,439.0,35.99,z_15
461.0,437.0,35.84,z_11
59.0,61.0,35.83,z_15
36.0,25.0,35.75,z_15
459.0,80.0,35.68,z_14
328.0,184.0,35.66,z_15
14.0,125.0,35.66,z_15
378.0,43.0,35.63,z_15
362.0,331.0,35.6,z_15
66.0,133.0,35.6,z_2
205.0,184.0,35.55,z_15
474.0,309.0,35.52,z_15
17.0,266.0,35.51,z_15
486.0,138.0,35.49,z_0
464.0,15.0,35.42,z_15
452.0,393.0,35.15,z_15
245.0,51.0,35.1,z_15
392.0,186.0,35.06,z_15
316.0,271.0,34.98,z_15
429.0,172.0,34.93,z_15
479.0,462.0,34.93,z_14
442.0,406.0,34.92,z_1
474.0,135.0,34.92,z_15
395.0,467.0,34.92,z_15
84.0,23.0,34.9,z_15
364.0,33.0,34.79,z_15
338.0,49.0,34.74,z_15
421.0,353.0,34.73,z_15
303.0,87.0,34.68,z_15
463.0,110.0,34.67,z_13
