Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
651,18.00,79.00,10.75,150.18,76.50,0.854
652,295.00,30.00,10.92,158.39,78.00,0.841
653,74.00,70.00,10.96,157.20,79.00,0.895
654,290.00,283.00,10.86,161.09,76.50,0.897
655,142.00,172.00,9.96,157.28,66.00,0.913
656,134.00,163.00,9.46,167.45,57.50,0.928
657,137.00,152.00,9.44,164.93,56.50,0.912
658,112.00,189.00,10.04,160.84,67.50,0.898
659,215.00,35.00,10.46,162.69,72.00,0.876
660,147.00,161.00,10.97,154.51,80.50,0.898
661,124.00,189.00,10.71,157.57,70.50,0.871
662,119.00,164.00,10.30,154.66,71.00,0.910
663,35.00,101.00,9.59,163.79,58.00,0.898
664,48.00,83.00,11.18,154.16,83.00,0.895
665,305.00,79.00,10.30,164.68,73.00,0.936
666,269.00,274.00,8.94,157.03,52.00,0.876
667,238.00,252.00,7.65,171.20,35.00,0.870
668,98.00,280.00,9.25,146.50,54.50,0.880
669,27.00,251.00,10.90,139.13,76.50,0.854
670,51.00,13.00,8.94,144.29,53.50,0.941
671,133.00,142.00,9.46,153.86,55.50,0.896
672,133.00,184.00,6.75,164.31,29.50,0.936
673,29.00,278.00,10.90,146.71,75.00,0.849
674,177.00,25.00,7.67,170.72,36.00,0.832
675,131.00,249.00,10.53,146.23,71.00,0.864
676,93.00,302.00,8.06,161.17,42.00,0.824
677,98.00,291.00,9.25,165.22,50.50,0.815
678,119.00,289.00,9.31,151.60,56.00,0.819
679,305.00,22.00,9.01,170.18,49.00,0.878
680,46.00,101.00,8.30,160.88,44.00,0.809
681,33.00,123.00,8.77,159.32,50.00,0.842
682,250.00,248.00,9.59,157.63,61.00,0.892
683,34.00,112.00,8.77,162.41,48.50,0.909
684,188.00,17.00,8.65,165.92,49.50,0.871
685,54.00,71.00,9.46,161.75,57.50,0.928
686,264.00,144.00,8.84,161.89,52.00,0.876
687,162.00,292.00,10.82,152.66,75.50,0.886
688,277.00,134.00,10.30,160.06,68.00,0.871
689,284.00,252.00,10.36,159.16,70.00,0.851
690,23.00,115.00,9.22,158.02,50.50,0.815
691,378.00,269.00,8.74,167.74,45.50,0.852
692,320.00,231.00,8.10,170.17,42.50,0.935
693,421.00,13.00,8.23,158.93,43.00,0.901
694,340.00,7.00,9.44,163.07,56.50,0.912
695,473.00,188.00,8.77,167.48,48.50,0.909
696,325.00,250.00,7.62,177.47,38.00,0.879
697,494.00,151.00,8.16,160.66,41.00,0.859
698,344.00,60.00,8.60,163.14,46.00,0.878
699,406.00,291.00,9.31,158.84,49.50,0.799
700,431.00,263.00,8.77,159.67,51.50,0.906
701,445.00,200.00,9.01,164.33,51.00,0.859
702,442.00,292.00,9.43,161.01,57.00,0.883
703,326.00,259.00,6.53,178.44,26.00,0.846
704,491.00,313.00,9.91,158.09,65.50,0.872
705,407.00,303.00,9.85,162.91,60.00,0.877
706,464.00,276.00,10.67,155.98,75.50,0.843
707,330.00,294.00,10.00,167.64,58.00,0.898
708,481.00,34.00,8.29,154.63,45.00,0.882
709,458.00,176.00,9.72,160.47,63.00,0.871
710,480.00,163.00,10.01,152.43,64.50,0.858
711,485.00,190.00,10.30,158.81,70.00,0.897
712,442.00,260.00,10.62,155.98,77.00,0.890
713,25.00,396.00,6.32,144.61,24.00,0.809
714,77.00,420.00,7.38,151.95,30.50,0.863
715,390.00,68.00,6.67,166.24,27.00,0.809
716,455.00,207.00,6.04,182.72,20.50,0.884
717,337.00,199.00,5.39,163.42,18.00,0.923
718,426.00,166.00,9.06,151.06,50.00,0.842
719,443.00,283.00,5.15,178.65,15.00,0.857
720,335.00,315.00,6.75,169.38,27.50,0.873
721,336.00,16.00,7.21,160.24,30.50,0.863
722,417.00,173.00,7.62,150.35,35.00,0.870
723,370.00,56.00,7.62,151.92,37.00,0.855
724,408.00,63.00,8.74,154.18,48.00,0.860
725,269.00,37.00,6.73,170.47,28.50,0.904
726,168.00,420.00,5.01,163.85,12.50,0.774
727,495.00,194.00,7.62,159.79,36.00,0.895
728,384.00,173.00,8.06,144.37,42.50,0.873
729,462.00,208.00,6.32,166.17,26.00,0.876
730,258.00,251.00,5.53,164.60,17.00,0.871
731,445.00,149.00,11.01,137.34,81.00,0.873
732,442.00,190.00,7.62,166.79,37.00,0.855
733,457.00,15.00,8.84,131.35,52.00,0.876
734,494.00,185.00,7.21,166.74,31.50,0.892
735,319.00,241.00,7.98,168.75,40.00,0.838
736,501.00,243.00,9.46,148.39,53.00,0.893
737,163.00,359.00,8.04,146.92,40.50,0.891
738,89.00,409.00,3.68,148.46,7.50,0.898
739,272.00,323.00,6.53,173.82,24.00,0.851
740,164.00,318.00,9.65,133.84,61.50,0.885
741,143.00,453.00,5.39,159.04,17.00,0.871
742,13.00,461.00,7.30,147.47,32.50,0.852
743,305.00,328.00,7.21,173.33,32.50,0.920
744,134.00,235.00,5.83,129.39,22.00,0.887
745,96.00,465.00,10.65,142.08,75.00,0.912
746,167.00,334.00,4.81,135.25,13.00,0.876
747,36.00,349.00,7.57,163.11,35.00,0.870
748,142.00,495.00,10.40,148.04,67.50,0.898
749,137.00,431.00,10.00,156.88,58.50,0.842
750,173.00,392.00,9.59,152.00,59.00,0.914
751,23.00,346.00,9.24,155.57,54.00,0.809
752,103.00,301.00,7.21,168.62,34.00,0.911
753,300.00,343.00,8.77,160.59,50.50,0.888
754,213.00,334.00,9.59,161.49,58.00,0.898
755,14.00,472.00,11.01,144.42,75.50,0.843
756,264.00,485.00,10.78,151.71,74.50,0.831
757,178.00,382.00,9.01,160.49,50.50,0.836
758,40.00,339.00,9.59,132.85,61.00,0.892
759,260.00,335.00,3.64,145.58,6.50,0.779
760,60.00,280.00,5.20,127.65,15.50,0.858
761,302.00,260.00,5.39,170.72,17.00,0.871
762,80.00,258.00,3.54,138.00,6.00,0.809
763,102.00,409.00,4.47,153.25,9.50,0.796
764,297.00,267.00,6.53,180.66,22.50,0.850
765,281.00,225.00,4.47,137.76,10.50,0.880
766,342.00,208.00,6.71,151.18,28.00,0.911
767,143.00,453.00,6.15,140.23,22.50,0.882
768,303.00,400.00,4.47,123.71,10.50,0.880
769,98.00,366.00,7.48,156.02,33.00,0.820
770,14.00,452.00,5.01,140.76,13.50,0.836
771,144.00,410.00,3.33,154.30,5.00,0.806
772,68.00,379.00,5.15,175.57,15.00,0.857
773,93.00,324.00,5.83,184.30,18.50,0.881
774,68.00,386.00,6.90,147.54,31.00,0.928
775,153.00,378.00,6.41,164.09,23.50,0.812
776,53.00,335.00,10.30,142.39,67.00,0.859
